timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-07-15,12.06770000,12.39900000,11.93000000,12.32100000,978185.21000000,1531699199999,11950242.43780800,20644,606722.83000000,7411491.20335900,0
2018-07-16,12.32100000,13.42950000,12.15250000,13.34710000,1688449.26000000,1531785599999,21925857.29028100,50131,938884.90000000,12189023.42207100,0
2018-07-17,13.37170000,13.90000000,12.82700000,13.73980000,2440273.66000000,1531871999999,32570276.18411900,70437,1299131.82000000,17357529.27350000,0
2018-07-18,13.73980000,13.88000000,12.65000000,12.85740000,2499594.95000000,1531958399999,33794147.78190300,71842,1238365.36000000,16773621.50808400,0
2018-07-19,12.85750000,13.37760000,12.71610000,12.95500000,1659928.44000000,1532044799999,21603602.16918800,52329,856928.11000000,11165224.89906700,0
2018-07-20,12.95500000,13.03900000,11.82100000,12.07980000,1500770.49000000,1532131199999,18560112.92673500,48919,699996.03000000,8674810.17735500,0
2018-07-21,12.07010000,12.49330000,11.80870000,12.19590000,962002.15000000,1532217599999,11713318.54476500,31285,477644.89000000,5816536.53327600,0
2018-07-22,12.16550000,12.35000000,11.92570000,12.18850000,717131.00000000,1532303999999,8743603.54970200,24851,402840.40000000,4916163.97695800,0
2018-07-23,12.15940000,12.40000000,11.90000000,12.03480000,846080.31000000,1532390399999,10248756.14916500,34423,387503.50000000,4706880.91844800,0
2018-07-24,12.03480000,12.28900000,11.63580000,12.14690000,1470130.39000000,1532476799999,17678964.46690300,45619,717440.92000000,8642738.50389700,0
2018-07-25,12.14690000,13.51360000,12.11110000,13.00480000,2387075.91000000,1532563199999,30990115.09185900,69891,1277505.59000000,16632280.46204700,0
2018-07-26,13.04480000,13.63970000,12.90080000,13.32830000,2048038.70000000,1532649599999,27045752.07273800,45742,1153728.67000000,15251911.36810200,0
2018-07-27,13.34350000,14.08450000,13.03830000,13.99190000,1868712.12000000,1532735999999,25531858.17845700,51776,1121327.72000000,15337897.25894400,0
2018-07-28,13.99020000,14.88860000,13.72000000,14.66900000,2191526.04000000,1532822399999,31740491.99232000,54936,1211554.16000000,17553693.66384700,0
2018-07-29,14.64150000,14.75120000,13.66600000,13.95690000,1627537.90000000,1532908799999,22996010.77786900,43430,845656.53000000,11971665.44652100,0
2018-07-30,13.93530000,13.97240000,13.00000000,13.16660000,1214311.90000000,1532995199999,16318839.01226600,35989,515021.72000000,6924743.60311700,0
2018-07-31,13.20570000,14.10000000,13.00100000,13.83690000,1908469.58000000,1533081599999,25968909.87079200,53038,996160.53000000,13564869.53582700,0
2018-08-01,13.83840000,14.10000000,13.17250000,13.66660000,1436158.78000000,1533167999999,19484025.28652900,42439,751503.45000000,10200893.96730400,0
2018-08-02,13.64810000,14.19990000,13.36400000,14.15000000,1220345.44000000,1533254399999,16667767.04466000,34510,765655.44000000,10478194.68842100,0
2018-08-03,14.13020000,14.18000000,13.55000000,14.12510000,1716106.24000000,1533340799999,23922598.17489600,43413,931222.72000000,12989755.84150300,0
2018-08-04,14.12510000,14.47000000,13.55000000,13.86630000,1675328.62000000,1533427199999,23504937.17289000,35349,944198.31000000,13261502.75780400,0
2018-08-05,13.86630000,13.94990000,13.22240000,13.64000000,1181522.98000000,1533513599999,16025447.51918100,23803,639675.14000000,8689640.66486200,0
2018-08-06,13.64070000,13.97500000,13.46880000,13.69980000,1401653.22000000,1533599999999,19146597.27427300,26233,799601.80000000,10930269.39228100,0
2018-08-07,13.69880000,13.85000000,13.07350000,13.14880000,1138776.83000000,1533686399999,15401942.95313500,32888,577701.84000000,7824258.59206300,0
2018-08-08,13.14860000,13.16880000,11.95000000,12.14890000,1477830.56000000,1533772799999,18318248.31766000,42614,756368.85000000,9371931.99739600,0
2018-08-09,12.14890000,12.87690000,12.04080000,12.76540000,1392084.49000000,1533859199999,17358341.58013800,31892,741645.46000000,9269971.43686300,0
2018-08-10,12.76980000,12.82490000,11.69120000,12.14720000,1321748.93000000,1533945599999,16351283.75629100,36511,714340.97000000,8867080.30036900,0
2018-08-11,12.13870000,12.16660000,11.30000000,11.69720000,951206.61000000,1534031999999,11161621.54809800,32017,506992.91000000,5963336.29609500,0
2018-08-12,11.69000000,11.87350000,11.35030000,11.79990000,827641.80000000,1534118399999,9652628.11456000,22247,419858.42000000,4901210.85176600,0
2018-08-13,11.79990000,11.88990000,10.11000000,10.25760000,1263311.00000000,1534204799999,14186384.03956500,32532,613439.12000000,6924945.98287300,0
